open,high,low,close
23925.99,24097.97,23893.4,24011.51
24011.51,24036.84,23940,23981.48
23981.48,24070.44,23954.45,24010.11
24011.25,24048.61,23944.18,23967.2
23967.2,23979.32,23911.12,23931.99
23930.73,24060,23925.36,24000.48
23998.68,24018.55,23933.83,23949.96
23949.96,23990,23893.66,23958.75
23960.35,23971.03,23880,23952.26
23953.22,23985.41,23907.29,23952.64
23952.65,23964.11,23911.36,23960.99
23960.99,23999.7,23920.11,23977.36
23977.36,23990,23910.48,23920.97
23920.18,24064.99,23900,24035.32
24034.01,24143,23957.39,23983.42
23983.42,24001.17,23839.31,23861.9
23861.9,23897.62,23707.31,23747.98
23749.73,23813.38,23711.57,23730.27
23731.43,23732.54,23583,23672.99
23672.98,23785.5,23653.66,23752.92
23751.53,23807.56,23737.37,23782.64
23782.64,23855.65,23775.36,23805.45
23804.07,23900,23721.2,23829.49
23828.98,23873.34,23704.78,23832.83
23832.83,23867,23763.63,23814.72
23814.72,23977,23802.92,23948.48
23948.48,24012.21,23920.94,23980.66
23979.58,24085.17,23975.41,24006.71
24006.71,24028.33,23952.03,23990.84
23989.52,24053.51,23979,24025.82
24025.82,24045.12,23982,24009.06
24009.06,24043.53,23980.3,24029.42
24031.53,24271.58,24025.12,24124.64
24124.64,24256.79,24119.69,24213.6
24213.6,24241.18,24140,24177.57
24177.57,24180.86,24048.29,24074
24072.29,24286.61,24059,24225.2
24225.2,24247.68,24121.22,24141.99
24141.99,24165.14,24091.78,24114.68
24115.61,24140.47,24073.97,24086.57
24086.57,24249.55,24077.77,24239.17
24239.13,24456.5,24202.48,24408.54
24406.49,24436.33,24329.39,24403.68
24401.7,24415,24334.37,24408.11
24407.09,24495.08,24345,24485.12
24483.47,24550,24438.42,24498.85
24498.85,24600.02,24437.59,24554.47
24555.04,24593.75,24513.26,24572.22
24572.22,24696,24533.52,24681.25
24681.25,24800,24597.05,24721.83
24720.29,24811.24,24644.44,24796.53
24796.53,24839.95,24725.72,24771.87
24771.87,24808.23,24694,24731.22
24731.22,24750.01,24680,24703.05
24704.45,24724.68,24653.51,24710.86
24711.58,24888,24710.72,24799.79
24799.79,24806.79,24602.92,24651.64
24651.64,24705.82,24627.3,24661.72
24662.43,24675.78,24552.13,24572.12
24574.03,24653.48,24570.12,24602.89
24601.75,24609.29,24364.59,24404.68
24404.68,24510.85,24356.11,24468.45
24468.46,24648.95,24461.89,24584.04
24584.04,24602.88,24413.13,24462.98
24464.17,24556.34,24458.2,24498.92
24499.88,24505.98,24365.5,24391.13
24391.3,24445,24291.22,24435.91
24435.91,24452.79,24310,24370.75
24370.75,24477,24300,24441.92
24443.41,24494.94,24412.22,24471.49
24472.49,24528.25,24417.9,24461.56
24461.56,24532.59,24438,24478.84
24478.84,24518,24422.34,24470.51
24470.51,24600.88,24456.03,24463.6
24464.22,24554.1,24439,24512.66
24512.66,24563.98,24467.15,24487.03
24488,24546.81,24451.22,24482.84
24482.78,24536.52,24459.57,24518.03
24518.03,24578.2,24510,24572.21
24570.63,24593.37,24470.16,24505.3
24505.92,24519.08,24393.89,24453.92
24452.1,24478.72,24336.16,24374.72
24376.2,24497.48,24348.55,24398.56
24398.56,24463.81,24319.09,24442.35
24443.13,24506.1,24435,24486.13
24484.91,24514.6,24455.7,24485.34
24485.34,24545,24460.01,24498.46
24498.46,24525.7,24443.9,24468.01
24468.01,24471.01,24384.1,24387.08
24386.27,24495,24375.36,24427.1
24425.7,24462.48,24360,24441.38
24443.06,24447.4,24343.3,24405.14
24405.14,24518.06,24398.9,24510.36
24511.39,24640,24467.28,24476.82
24476.82,24610.89,24407.37,24586.3
24584.79,24608.69,24500.16,24557.7
24558.87,24615.36,24533.6,24595.77
24595.77,24625,24538.85,24570.7
24570.7,24598.49,24542.88,24570.02
24570.33,24641.97,24516,24527.77
24527.11,24575,24500,24567.47
24567.46,24580,24531.98,24539.48
24539.48,24619.14,24522.74,24588.64
24588.64,24629.96,24582.43,24619.6
24619.6,24680.85,24603.28,24676.74
24676.73,24962.4,24666.12,24884.87
24886,25047.56,24817.15,24873.32
24873.32,24883.24,24728.32,24839.76
24839.76,24870.89,24594.83,24657.09
24655.85,24732.99,24623.09,24725.13
24725.13,24795.36,24692.04,24751.31
24751.31,24752.17,24650.03,24730.93
24732.37,24734.58,24603.01,24621.34
24619.98,24676.92,24617.99,24662.71
24661.86,24663.22,24524.32,24564.49
24564.5,24593.43,24475,24512.28
24513.26,24536.93,24470.74,24527.46
24527.48,24534.04,24412.08,24469.58
24470.93,24529.32,24400,24477.07
24475.67,24532.5,24460.12,24497.42
24495.92,24523.49,24470.12,24514.5
24514.5,24540,24466.04,24480.94
24482.44,24530,24480.64,24524.54
24525.51,24568.74,24485.05,24510.83
24509.16,24526.71,24302.5,24311.45
24309.97,24329.32,24174.03,24275.05
24273.69,24321.14,24209.89,24226.46
24229.1,24292.85,24144,24283
24281.57,24299.48,24256.29,24286.74
24286.74,24326.57,24239.61,24276.54
24277.76,24306,24254.54,24284.07
24284.07,24352.22,24251.22,24304.25
24304.25,24332.98,24276.15,24312.41
24313.51,24396.66,24273.94,24393.53
24393.53,24435,24317.41,24343.67
24344.88,24354.25,24172.4,24315.39
24315.39,24364.4,24243.46,24258.68
24257.9,24325.7,24234.07,24269.6
24270.74,24353.1,24250,24305.24
24305.25,24316.56,24164.1,24259.87
24261.12,24413.79,24255.45,24400.97
24400.97,24431.71,24330.96,24395.39
24396.87,24656.75,24388,24645.14
24645.14,24817.59,24638.8,24815.6
24813.91,24931.66,24755.99,24917.72
24918.29,25211.32,24895.2,25026.22
25027.52,25099.16,24779.05,24867.39
24866.12,24888,24690.08,24767.09
24766.09,24877.13,24747.89,24847.53
24849.23,24982.7,24786.26,24833.72
24833.72,24837.95,24751,24817.62
24817.62,24826,24348.89,24418.36
24418.36,24420.23,24081.79,24135.23
24135.23,24218.92,24000,24072.58
24072.58,24119.03,23944.62,24027.05
24027.05,24055.95,23869.46,24024.76
24024.76,24079.88,23989.31,24042.7
24042.7,24080.99,23993.02,24007.13
24008.27,24205.77,23996.58,24172.18
24170.69,24207.14,24128.58,24183.45
24183.45,24300,24143.28,24267.62
24267.62,24314.28,24164.65,24184.5
24184.5,24202.62,23996.58,24049.48
24048.91,24163.71,24018.2,24148.29
24148.84,24192,23900,23950.97
23949.28,24131.74,23931.2,24120.54
24119.18,24198.51,23971.16,24155.97
24155.97,24194,24080.33,24117.6
24117.6,24180,24081.88,24115.47
24113.79,24146.58,24046.01,24134.15
24134.15,24265.74,24122.01,24226
24226,24281.1,24175.64,24224.38
24222.32,24270,24151.91,24254
24254,24274.85,24138,24190.63
24192.01,24197.78,24077.61,24116.79
24116.79,24142,24030.77,24105.94
24107.81,24129.31,24062.34,24098.11
24098.22,24158,24019.01,24056.05
24054.68,24089.24,23965,23982.54
23983.54,24110,23973.38,24081.72
24079.82,24094.04,23985,24066.82
24068.36,24145.43,24041,24089.82
24089.82,24100,23982,24026.63
24027.43,24150,23969.09,24075.27
24072.32,24115.38,24003.11,24013.72
24013.72,24116.82,23773.22,24055
24055.05,24192.83,24012.02,24094.82
24093.04,24163.84,23958.54,23994.84
23994.84,24162.41,23972.52,24124.8
24124.8,24232.91,24115,24185.18
24185.18,24247.49,24100,24108.33
24109.1,24199.99,24099.16,24177.65
24177.65,24198.82,24018.75,24046.18
24046.18,24181.13,23853,24137.54
